サクラフルール青山,東口
セルリアンタワー東急ホテル,西口・C2・C3
ホテルメッツ渋谷,新南口
ハチ公前広場,ハチ公口・A8
ビックカメラ 渋谷ハチ公口店,ハチ公口
ビックカメラ 渋谷東口店,B2
タワーレコード 渋谷店,A7・A12
ヤマダ電機 LABI渋谷店,A2
マークシティアベニュー,アベニュー口
みずほ銀行 渋谷中央支店,A3
みずほ銀行 渋谷支店,B2・B7
ゆうちょ銀行 渋谷店,B3
渋谷マークシティ,A5 井の頭線中央口・井の頭線西口
渋谷グランベルホテル,西口
渋谷スクランブルスクエア,B6
渋谷フクラス,西口
渋谷ヒカリエ,B5
渋谷クロスタワー,東口・宮益坂口・B4・B5
渋谷モヤイ像,中央口
渋谷ロフト,ハチ公口
渋谷マルイ,ハチ公口
渋谷モディ,ハチ公口・A7・A12
渋谷プライム,A0
渋谷ストリーム,C2
渋谷エクセルホテル東急,A5
渋谷東急REIホテル,B2
渋谷駅西口バスターミナル,A8
渋谷駅前ビル,A4
渋谷東武ホテル,A3
渋谷税務署,A6
渋谷警察署,C1
渋谷駅前交番,ハチ公口・A7・A8・A12
渋谷郵便局,東口・宮益坂口・B3
渋谷道玄坂郵便局,A1
渋谷松濤郵便局,A2
渋谷三郵便局,新南口
渋谷中央街郵便局,西口
渋谷神南郵便局,A7・A12
渋東シネタワー,A1
TKPガーデンシティ渋谷,東口・宮益坂口
TOHOシネマズ渋谷,A1
SHIBUYA109,A2
BUNKAMURA ザミュージアム,A2
MAGNET by SHIBUYA109,A12
cocoti SHIBUYA,B1
横浜銀行 渋谷支店,西口
三菱UFJ銀行 渋谷支店,西口・A5
三菱UFJ信託銀行 渋谷支店,東口
三井住友銀行 渋谷駅前支店,A5
金王八幡宮,新南口
西武 渋谷店,ハチ公口・A6
区立神南小学校,A3
宇田川交番,A0・A3
宮下公園,B2
国際連合大学,B3
青山学院大学,B5
国學院大学,C1
実践女子大学,C1
日本経済大学,A5・C2
私立渋谷教育学園渋谷中学校高等学校,B1
南口バスターミナル,井の頭線中央口
東急百貨店 渋谷本店,A0・A2・A3
東急ハンズ 渋谷店,A3
